Player,ID,League
Marcus-Keene,58529,NCAA
Trae-Young,88934,NCAA
Henry-Domercant,2749,NCAA
Ruben-Douglas,1987,NCAA
Lester-Hudson,1690,NCAA
Michael-Beasley,757,NCAA
Andre-Collins,4930,NCAA
Kee-Kee-Clark,4771,NCAA
Kevin-Durant,34,NCAA
Gary-Neal,10568,NCAA
Trey-Johnson,932,NCAA
Stephen-Curry,1600,NCAA
Troy-Bell,456,NCAA
Mike-Helms,13009,NCAA
Chris-Williams,11425,NCAA
Michael-Watson,13201,NCAA
Rodney-Stuckey,42,NCAA
Luis-Flores,417,NCAA
Ronnie-Price,886,NCAA
Kevin-Martin,392,NCAA
Randy-Onwuasor,59228,NCAA
Kendrick-Nunn,24684,NCAA
Markelle-Fultz,85903,NCAA
Nick-King,24677,NCAA
Mike-Sweetney,444,NCAA
Reggie-Williams,1783,NCAA
Quincy-Roberts,6476,NCAA
Taylor-Coppenrath,18025,NCAA
Aubrey-Coleman,7751,NCAA
Willie-Green,474,NCAA
Chris-Kaman,57,NCAA
Chris-Clemons,85124,NCAA
Marcus-Hatten,1104,NCAA
Carmelo-Anthony,452,NCAA
Jason-Conley,4101,NCAA
Ricky-Minard,403,NCAA
Josh-Akognon,2578,NCAA
Ben-Woodside,1792,NCAA
Roy-Booker,12132,NCAA
Reggie-Hamilton,12985,NCAA
Femi-Olujobi,80680,NCAA
Adarius-Avery,108069,NCAA
Alan-Daniels,21571,NCAA
Doug-McDermott,23478,NCAA
Julius-Jenkins,21365,NCAA
Kris-Humphries,383,NCAA
Ron-Williamson,19381,NCAA
Aaric-Murray,8223,NCAA
Derrick-Tarver,11213,NCAA
RJ-Cole,121882,NCAA
Angel-Suero,30981,NCAA
Dwyane-Wade,450,NCAA
Shakir-Dunning,32568,NCAA
James-Daniel,58571,NCAA
Brandon-Hunter,481,NCAA
Tiwian-Kendley,109451,NCAA
Jermaine-Hall,20971,NCAA
Rob-McKiver,6302,NCAA
Ike-Diogu,94,NCAA
Adrian-Oliver,6974,NCAA
CJ-McCollum,17251,NCAA
Ron-Slay,4311,NCAA
Andre-Emmett,410,NCAA
Brett-Blizzard,4777,NCAA
Marvin-Bagley-III,81676,NCAA
Xavier-Silas,4511,NCAA
Austin-McBroom,31301,NCAA
Derrick-White,61344,NCAA
Bo-McCalebb,1907,NCAA
Eric-Gordon,762,NCAA
Ryan-Toolson,1808,NCAA
Andrew-Gonzalez,13938,NCAA
Juan-Mendez,18351,NCAA
DJ-Rivera,2556,NCAA
OJ-Mayo,758,NCAA
Jairus-Lyles,57425,NCAA
Kenny-Adeleke,1165,NCAA
Billy-Baron,23548,NCAA
Antonio-Gates,11527,NCAA
Geoff-Payne,13240,NCAA
Mark-McLaughlin,4487,NCAA
Jordan-Crawford,4441,NCAA
Jonathan-Stark,57077,NCAA
Mike-Daum,81518,NCAA
Jermaine-Boyette,1138,NCAA
Shawn-Hall,21020,NCAA
Collin-Sexton,104930,NCAA
Marcus-Thornton,1634,NCAA
Obi-Emegano,31520,NCAA
Terrence-Woods,19263,NCAA
Joe-Shipp,6759,NCAA
David-Hawkins,1107,NCAA
James-Batemon-III,117755,NCAA
Jake-Wiley,45001,NCAA
Marques-Green,9589,NCAA
Trevin-Parks,10306,NCAA
Tyler-Hall,84055,NCAA
Tyler-Hansbrough,1608,NCAA
Ronald-Blackshear,2738,NCAA
Marcus-Banks,454,NCAA
Marcus-Keene,58529,NCAA
Trae-Young,88934,NCAA
Henry-Domercant,2749,NCAA
Ruben-Douglas,1987,NCAA
Lester-Hudson,1690,NCAA
Michael-Beasley,757,NCAA
Andre-Collins,4930,NCAA
Kee-Kee-Clark,4771,NCAA
Kevin-Durant,34,NCAA
Gary-Neal,10568,NCAA
